          price                                    type                                            address  ... postcode number_bedrooms                search_date
0      160000.0            1 bedroom apartment for sale         Regent Plaza, Regent Road, Salford, M5 3GY  ...       M5               1 2019-03-28 18:22:25.761924
1           NaN       5 bedroom detached house for sale                           Chatsworth Road, Worsley  ...      NaN               5 2019-03-28 18:22:25.761924
2     3500000.0            4 bedroom penthouse for sale                Beetham Tower, 301 Deansgate M3 4LX  ...       M3               4 2019-03-28 18:22:25.761924
3     2250000.0       5 bedroom detached house for sale               Chatsworth Road, Worsley, Manchester  ...      NaN               5 2019-03-28 18:22:25.761924
4     2000000.0            4 bedroom penthouse for sale  Leftbank, Spinningfields, Manchester, Greater ...  ...       M3               4 2019-03-28 18:22:25.761924
5     2000000.0                 3 bedroom flat for sale  1 Rice Street, Castlefield, Manchester, Greate...  ...       M3               3 2019-03-28 18:22:25.761924
6     1650000.0       9 bedroom detached house for sale         Wilbraham Road, Chorlton, Manchester, M21   ...      M21               9 2019-03-28 18:22:25.761924
7     1500000.0       7 bedroom detached house for sale                        Peel Moat Road, Heaton Moor  ...      NaN               7 2019-03-28 18:22:25.761924
8     1395000.0       7 bedroom detached house for sale                     Elm Road, Didsbury, Manchester  ...      NaN               7 2019-03-28 18:22:25.761924
9     1300000.0                 Detached house for sale                             New Hall Road, Salford  ...      NaN             NaN 2019-03-28 18:22:25.761924
10    1250000.0            3 bedroom apartment for sale                          No1 Deansgate, Manchester  ...      No1               3 2019-03-28 18:22:25.761924
11    1200000.0       5 bedroom detached house for sale      Woodstock Drive, Worsley, Manchester, M28 2WW  ...      M28               5 2019-03-28 18:22:25.761924
12    1200000.0       4 bedroom detached house for sale                   Holme Road, Didsbury, Manchester  ...      NaN               4 2019-03-28 18:22:25.761924
13    1150000.0       7 bedroom detached house for sale                Clothorn Road, Didsbury, Manchester  ...      NaN               7 2019-03-28 18:22:25.761924
14    1100000.0       4 bedroom detached house for sale  The Spinney Chatsworth Road, Worsley, Manchest...  ...      M28               4 2019-03-28 18:22:25.761924
15    1075034.0            3 bedroom penthouse for sale                 Store Street,\r\nManchester,\r\nM1  ...       M1               3 2019-03-28 18:22:25.761924
16    1070000.0                4 bedroom house for sale  Clifton Avenue, Manchester, Greater Manchester...  ...      M14               4 2019-03-28 18:22:25.761924
17    1050000.0       5 bedroom detached house for sale                 Old Broadway, Didsbury, Manchester  ...      NaN               5 2019-03-28 18:22:25.761924
18    1000000.0           4 bedroom farm house for sale                Nutt Lane, Simister, Prestwich, M25  ...      M25               4 2019-03-28 18:22:25.761924
19    1000000.0       5 bedroom detached house for sale     Old Hall Road, Salford, Greater Manchester, M7  ...       M7               5 2019-03-28 18:22:25.761924
20    1000000.0       7 bedroom detached house for sale            Manor Drive, Chorlton, Manchester, M21   ...      M21               7 2019-03-28 18:22:25.761924
21    1000000.0            2 bedroom penthouse for sale                        10 Canal Street, Manchester  ...      NaN               2 2019-03-28 18:22:25.761924
22          NaN       5 bedroom detached house for sale             Parsonage Road, Heaton Moor, Stockport  ...      NaN               5 2019-03-28 18:22:25.761924
23    1000000.0       4 bedroom detached house for sale                           Chatsworth Road, Worsley  ...      NaN               4 2019-03-28 18:22:25.761924
24    1000000.0  8 bedroom semi-detached house for sale                            Burton Road, Manchester  ...      NaN               8 2019-03-28 18:22:25.761924
25     115000.0                 2 bedroom flat for sale     2 BEDROOM APARTMENT, 19 Royce Road, Manchester  ...      NaN               2 2019-03-28 18:22:25.761924
26          NaN       5 bedroom detached house for sale             Parsonage Road, Heaton Moor, Stockport  ...      NaN               5 2019-03-28 18:22:25.761924
27    1000000.0            2 bedroom penthouse for sale                        10 Canal Street, Manchester  ...      NaN               2 2019-03-28 18:22:25.761924
28     975000.0  5 bedroom semi-detached house for sale                Moorland Road, Didsbury, Manchester  ...      NaN               5 2019-03-28 18:22:25.761924
29     975000.0  5 bedroom semi-detached house for sale              Victoria Avenue, Didsbury, Manchester  ...      NaN               5 2019-03-28 18:22:25.761924
...         ...                                     ...                                                ...  ...      ...             ...                        ...
1020   289950.0  3 bedroom semi-detached house for sale       Heathside Road, Withington, Manchester, M20   ...      M20               3 2019-03-28 18:22:25.761924
1021   289950.0           4 bedroom town house for sale                         Millers Row, Heaton Norris  ...      NaN               4 2019-03-28 18:22:25.761924
1022   289950.0    4 bedroom detached bungalow for sale            Mossway, Alkrington, Middleton M24 1NS   ...      M24               4 2019-03-28 18:22:25.761924
1023   287500.0  3 bedroom semi-detached house for sale               Tottenham Drive, Baguley, Manchester  ...      NaN               3 2019-03-28 18:22:25.761924
1024   286500.0            2 bedroom apartment for sale         Meadow Side, Angel Meadows, Manchester, M4  ...       M4               2 2019-03-28 18:22:25.761924
1025   225000.0            2 bedroom apartment for sale          Hill Quays, Commercial Street, Manchester  ...      NaN               2 2019-03-28 18:22:25.761924
1026   285350.0            2 bedroom apartment for sale                   Worrall Street, Manchester,  M5   ...       M5               2 2019-03-28 18:22:25.761924
1027   285000.0  3 bedroom semi-detached house for sale                      Ashdene Road, Withington, M20  ...      M20               3 2019-03-28 18:22:25.761924
1028   285000.0  3 bedroom semi-detached house for sale                      St Margaret`s Road, Prestwich  ...      NaN               3 2019-03-28 18:22:25.761924
1029   285000.0            2 bedroom apartment for sale  Imperial Point, The Quays, Salford, Lancashire...  ...      M50               2 2019-03-28 18:22:25.761924
1030   285000.0  4 bedroom semi-detached house for sale  Heywood Road, Prestwich, Manchester, Greater M...  ...      M25               4 2019-03-28 18:22:25.761924
1031   285000.0             4 bedroom bungalow for sale                           Fairview Road, Dane Bank  ...      NaN               4 2019-03-28 18:22:25.761924
